"Category","Case"
"Aches & Pains","Wrist pain"
"Aches & Pains","Toothache"
"Aches & Pains","Stomach upset"
"Aches & Pains","Stomach pain"
"Aches & Pains","Shoulder pain"
"Cuts & Scratched","Scratched on hand"
"Aches & Pains","Neck pain"
"Aches & Pains","Migrane problem"
"Aches & Pains","Leg pain"
"Aches & Pains","Knee pain"
"Aches & Pains","Headache"
"Aches & Pains","Hand pain"
"Hurts","Got hurt nail"
"Aches & Pains","Finger pain"
"Aches & Pains","Elbow pain"
"Cuts & Scratched","Cut on elbow"
"Cuts & Scratched","Cut on back side of head"
"Aches & Pains","Bodyache"
"Aches & Pains","Back side pain"
"Infectious Dieases","Meseals"
"Asthma","Breathing problem"
"Bleeding","Bleeding nose"
"Cough & Cold","Snizzing"
"Cough & Cold","Caugh & cold"
"Cuts & Scratched","Cut on knee"
"Cuts & Scratched","Cut  on  forehead"
"Cuts & Scratched","Cut on finger"
"Cuts & Scratched","Scratched on knee"
"Cuts & Scratched","Scratched on chin"
"Cuts & Scratched","Cut on lip"
"Cuts & Scratched","Cut on ear"
"Cuts & Scratched","Cut on ear side"
"Cuts & Scratched","Cut on forehead"
"Cuts & Scratched","Cut on hand"
"Cuts & Scratched","Cut on head"
"Cuts & Scratched","Cut on leg"
"Cuts & Scratched","Cut on nail side"
"Cuts & Scratched","Cut on cheek"
"Cuts & Scratched","cut on nose"
"Cuts & Scratched","Cut on palm"
"Cuts & Scratched","Cut on back side"
"Cuts & Scratched","Cut on thigh"
"Cuts & Scratched","Cut on toe"
"Cuts & Scratched","Cut on toes nail"
"Cuts & Scratched","Cut on tongue"
"Cuts & Scratched","Cut on under eye side"
"Cuts & Scratched","Cut on wrist"
"Cuts & Scratched","Cuton leg"
"Cuts & Scratched","Scratched on ear"
"Cuts & Scratched","Scratched on elbow"
"Cuts & Scratched","Scratched on finger"
"Cuts & Scratched","Scratched on forehead"
"Cuts & Scratched","Scratched on leg"
"Cuts & Scratched","Scratched on nose side"
"Cuts & Scratched","Scratched on wrist"
"Cuts & Scratched","bites on hand"
"Fever","Fever"
"Gas & Acidity","Indigestion"
"Hurts","Got hurt back side of head"
"Hurts","Got hurt check"
"Hurts","Got hurt eye"
"Hurts","Got hurt eye side"
"Hurts","Got hurt finger"
"Hurts","hand fracture"
"Hurts","Leg fracture"
"Hurts","Got hurt hand"
"Hurts","Got hurt head"
"Hurts","Got hurt knee"
"Hurts","Got hurt leg"
"Hurts","Got hurt lip"
"Hurts","Got hurt nose"
"Hurts","Got hurt palm"
"Hurts","Got hurt right eye"
"Hurts","Got hurt teeth"
"Hurts","Got hurt toe"
"Hurts","Got hurt under stomach"
"Hurts","Got hurt left eye"
"Infectious Dieases","Chicken pox"
"Infectious Dieases","Eye infection"
"Infectious Dieases","Throat lozenges"
"Sickness","Not feeling well"
