"Department","Category","Subcategory","Item"
"Maintenance Dept.","Plumbing","Valves","1"" GET VALVE (LEADER)"
"Maintenance Dept.","Electrical","Elbows","1/2 Plug"
"Maintenance Dept.","Electrical","MCB'S","100 AMP 4 Pole MCB"
"Maintenance Dept.","Electrical","Lamp","11 WATT P.L  2 PIN"
"Maintenance Dept.","Electrical","Emergency Light","14 watt Emergency Tube"
"Maintenance Dept.","Electrical","Boxes","2 Model Boxes"
"Maintenance Dept.","Plumbing","Basin & Accessories","20*16"" WALL BASIN"
"Maintenance Dept.","Electrical","Emergency Light","2ft Emergency Light (Rechargeable)"
"Maintenance Dept.","Electrical","Boxes","2mm Plate"
"","Electrical",,"3 PIN PLUG"
"Maintenance Dept.","Electrical","Switches & Holders","3 pin plug / Top (16 amp)"
"Maintenance Dept.","Electrical","Switches & Holders","3 pin Plug/ Top6 amp"
"Maintenance Dept.","Plumbing","General","3/4 *6"" LONG SCREW"
"Maintenance Dept.","Electrical","Boxes","4 Model Boxes"
"Maintenance Dept.","Electrical","Boxes","4 Model Plate"
"Maintenance Dept.","Plumbing","General","4"" STRAP PLC(CI)"
"Maintenance Dept.","Electrical","Elbows","4*1"" ELBOW (HB)"
"Maintenance Dept.","Electrical","Switches & Holders","6 wt Led Spot Light & Holder"
"Maintenance Dept.","Plumbing","Pipes","6"" C.I SOIL PLAIN PIPE"
"Maintenance Dept.","Electrical","Fans","6"" Exhaust Fan"
"Maintenance Dept.","Electrical","Boxes","8mm Plates"
"Maintenance Dept.","Electrical","Boxes","8mm PVC Box"
"Maintenance Dept.","Electrical","Lamp","9 WATT  LED LAMP"
"Store Dept.","Printing & Stationary","Paper","A3 SIZE PAPER"
"Store Dept.","Printing & Stationary","Paper","A4 SIZE COLOUR PAPER (BLUE)"
"Store Dept.","Printing & Stationary","Paper","A4 SIZE COLOUR PAPER (GREEN)"
"Store Dept.","Printing & Stationary","Paper","A4 SIZE COLOUR PAPER (OF WHITE)"
"Store Dept.","Printing & Stationary","Paper","A4 SIZE COLOUR PAPER (PINK)"
"Store Dept.","Printing & Stationary","Paper","A4 SIZE COLOUR PAPER (YELLOW)"
