"Department","Category","Subcategory"
"Store Dept.","Office Stationery","Paper"
"Store Dept.","Accessories","General"
"Store Dept.","Uniform","Activity Dress"
"Store Dept.","Badges","Badges"
"Store Dept.","Printing & Stationary","Paper"
"Store Dept.","Printing & Stationary","Colours"
"Store Dept.","Printing & Stationary","Pens"
"Store Dept.","Printing & Stationary","Admissions"
"Store Dept.","Printing & Stationary","Examinations"
"Store Dept.","Printing & Stationary","Attendance"
"Store Dept.","Printing & Stationary","Files & Folders"
"Store Dept.","Printing & Stationary","Pins & Clips"
"Store Dept.","Printing & Stationary","Tapes"
"Store Dept.","Printing & Stationary","Office Stationeries"
"Store Dept.","Printing & Stationary","Classrooms"
"Store Dept.","Printing & Stationary","Envelopes"
"Store Dept.","Card and Certificate","Achievements"
"Store Dept.","Card and Certificate","Merits"
"Store Dept.","Card and Certificate","Birthdays"
"Store Dept.","Card and Certificate","Activities"
"Store Dept.","Card and Certificate","Medical"
"Store Dept.","Card and Certificate","Reports Cards"
"Store Dept.","Card and Certificate","Attendance"
"Store Dept.","Card and Certificate","General"
"Store Dept.","Card and Certificate","Scouts"
"Store Dept.","Card and Certificate","Leave"
"Store Dept.","Card and Certificate","Visiting Cards"
"Store Dept.","Stationary","Saleable"
"Store Dept.","Bag","Carrying"
"Store Dept.","Bag","Marketing"
"Store Dept.","Bag","General"
"Store Dept.","Audio & Video System","CD Players"
"Store Dept.","Audio & Video System","Talky"
"Store Dept.","Audio & Video System","Cordless Phone"
"Store Dept.","Audio & Video System","Telephone"
"Store Dept.","Gift","Useable Items"
"Store Dept.","Gift","General"
"Store Dept.","Accessories","Anniversary"
"Store Dept.","Gift","Momentoes"
"Store Dept.","Gift","Press"
"Store Dept.","Maintenance","Fragrances"
"Store Dept.","Maintenance","Allout"
"Store Dept.","Maintenance","Battery"
"Store Dept.","Maintenance","Umbrella"
"Store Dept.","Maintenance","Locks"
"Store Dept.","Decoration","Malay Manch"
"Store Dept.","Decoration","Balloons"
"Store Dept.","Decoration","General"
"Store Dept.","Madhusthali","Madhusthali items"
"Store Dept.","Flag and Banner","General"
"Store Dept.","Flag and Banner","Houses"
"Store Dept.","Uniform","Activity"
"Store Dept.","Uniform","Karate"
"Store Dept.","Uniform","Scout"
"Store Dept.","Dress & Cloth","Ashans"
"Store Dept.","Uniform","Blankets"
"Store Dept.","Uniform","Caps"
"Store Dept.","Uniform","Jackets"
"Store Dept.","Uniform","Clothes"
"Store Dept.","Uniform","Shoes"
"Store Dept.","Uniform","Satranchi"
"Store Dept.","Uniform","Tie"
"Store Dept.","Uniform","Sarees"
"Store Dept.","Uniform","T Shirts"
"Store Dept.","Uniform","Aprons"
"Store Dept.","Uniform","Bed Sheets"
"Store Dept.","Badges","Captains"
"Store Dept.","Badges","Vice Captains"
"Store Dept.","Uniform","Interact Club"
"Store Dept.","Badges","MCKV"
"Store Dept.","Badges","Monitor"
"Store Dept.","Badges","Prefects"
"Store Dept.","Food & Beverage","Staff welfare"
"Store Dept.","Food & Beverage","Chocolates"
"Maintenance Dept.","Electrical","Cables & Wires"
"Maintenance Dept.","Electrical","Battery"
"Maintenance Dept.","Electrical","Emergency Light"
