"Date","Category","Item Name","Quantity","Rate","Amount","Received From","Rack No","Remarks"
"12/03/2018","Accessories","TOWEL (SMALL)","10 Pcs",0,0,"SONA  MITRA","ALMIRAH 9",""
"19/01/2018","Accessories","JUTE THIN ROPE","2 Kg",98,196,"SONA  MITRA","10",""
"03/11/2017","Accessories","WALL CLOCK","5 Pcs",0,0,"SONA MITRA","6",""
"16/10/2017","Accessories","NAPKIN  (TISSUE)","6 pkt",35,210,"SONA MITRA","11",""
"16/10/2017","Accessories","ZIPPER POUTCH (Small)","10 pkt",15,150,"SONA MITRA","ALMIRAH 9",""
"16/10/2017","Accessories","CANDLE BIG","6 Pcs",20,120,"SONA MITRA","10",""
"16/10/2017","Accessories","POLY PACKET WHITE (Medium)","1 pkt",100,100,"SONA MITRA","4",""
"16/10/2017","Accessories","POLY PACKET WHITE (SMALL)","1 pkt",65,65,"SONA MITRA","4",""
"16/10/2017","Accessories","POLY PACKET BLACK (BIG)","2 pkt",45,90,"SONA MITRA","4",""
"18/08/2017","Accessories","ZIPPER POUTCH (Small)","2 pkt",0.65,1.3,"SONA MITRA","ALMIRAH 9",""
"09/08/2017","Accessories","ZIPPER POUTCH (Small)","10 pkt",15,150,"SONA MITRA","ALMIRAH 9",""
"04/08/2017","Accessories","TOWEL (BIG)","6 Pcs",0,0,"SONA MITRA","ALMIRAH 9",""
"04/08/2017","Accessories","TOWEL (SMALL)","6 Pcs",0,0,"SONA MITRA","ALMIRAH 9",""
"27/07/2017","Accessories","JUTE THIN ROPE","3 Kg",93.33,279.99,"SONA MITRA","10",""
"04/07/2017","Accessories","NAPKIN  (TISSUE)","12 pkt",0,0,"SONA MITRA","11",""
"04/07/2017","Accessories","GOOD KNIGHT OIL","5 Btl.",0,0,"SONA MITRA","ALMIRAH 3",""
"15/06/2017","Accessories","BATTERY (BIG)","6 Pcs",16.5,99,"SONA MITRA","ALMIRAH 3",""
"15/06/2017","Accessories","ZIPPER POUTCH (Small)","10 pkt",15,150,"SONA MITRA","ALMIRAH 9",""
"08/05/2017","Accessories","ICE BOX","1 Pcs",700,700,"SONA MITRA","10",""
"08/05/2017","Accessories","ICE TRAY","6 Pcs",30,180,"SONA MITRA","10",""
"08/05/2017","Accessories","POLY PACKET WHITE BIG","2 pkt",60,120,"SONA MITRA","4",""
"08/05/2017","Accessories","POLY PACKET WHITE (SMALL)","2 pkt",60,120,"SONA MITRA","4",""
"08/05/2017","Accessories","POLY PACKET WHITE (Medium)","2 pkt",60,120,"SONA MITRA","4",""
"25/04/2017","Accessories","CLASS TALKY CHARGER","1 Pcs",220,220,"SONA MITRA","10",""
"17/04/2017","Accessories","BLUE BAG","590 Pcs",0,0,"SHILPI","13",""
"07/04/2017","Accessories","Plastic cloth clip","12 pkt",20,240,"SONA MITRA","ALMIRAH 3",""
"07/04/2017","Accessories","PLASTIC BOWL SMALL","12 Pcs",5,60,"SONA MITRA","10",""
